"Step","true-galaxy-28 - ep/return","true-galaxy-28 - ep/return__MIN","true-galaxy-28 - ep/return__MAX"
"0","0","0","0"
"1","0","0","0"
"2","200","200","200"
"3","0","0","0"
"4","100","100","100"
"5","175","175","175"
"6","225","225","225"
"7","125","125","125"
"8","200","200","200"
"9","600","600","600"
"10","150","150","150"
"11","300","300","300"
"12","175","175","175"
"13","125","125","125"
"14","175","175","175"
"15","150","150","150"
"16","125","125","125"
"17","175","175","175"
"18","175","175","175"
"19","125","125","125"
"20","225","225","225"
"21","175","175","175"
"22","150","150","150"
"23","250","250","250"
"24","250","250","250"
"25","225","225","225"
"26","175","175","175"
"27","150","150","150"
"28","225","225","225"
"29","200","200","200"
"30","275","275","275"
"31","250","250","250"
"32","625","625","625"
"33","175","175","175"
"34","225","225","225"
"35","250","250","250"
"36","175","175","175"
"37","175","175","175"
"38","125","125","125"
"39","350","350","350"
"40","100","100","100"
"41","200","200","200"
"42","225","225","225"
"43","225","225","225"
"44","225","225","225"
"45","225","225","225"
"46","200","200","200"
"47","250","250","250"
"48","225","225","225"
"49","200","200","200"
"50","575","575","575"
"51","150","150","150"
"52","200","200","200"
"53","225","225","225"
"54","500","500","500"
"55","275","275","275"
"56","300","300","300"
"57","325","325","325"
"58","350","350","350"
"59","225","225","225"
"60","175","175","175"
"61","500","500","500"
"62","325","325","325"
"63","425","425","425"
"64","450","450","450"
"65","275","275","275"
"66","375","375","375"
"67","325","325","325"
"68","325","325","325"
"69","300","300","300"
"70","275","275","275"
"71","350","350","350"
"72","325","325","325"
"73","200","200","200"
"74","275","275","275"
"75","300","300","300"
"76","275","275","275"
"77","275","275","275"
"78","350","350","350"
"79","225","225","225"
"80","225","225","225"
"81","375","375","375"
"82","225","225","225"
"83","250","250","250"
"84","225","225","225"
"85","375","375","375"
"86","400","400","400"
"87","250","250","250"
"88","175","175","175"
"89","275","275","275"
"90","325","325","325"
"91","250","250","250"
"92","350","350","350"
"93","425","425","425"
"94","200","200","200"
"95","325","325","325"
"96","300","300","300"
"97","225","225","225"
"98","325","325","325"
"99","300","300","300"
"100","225","225","225"
"101","225","225","225"
"102","275","275","275"
"103","300","300","300"
"104","400","400","400"
"105","375","375","375"
"106","300","300","300"
"107","275","275","275"
"108","700","700","700"
"109","625","625","625"
"110","725","725","725"
"111","350","350","350"
"112","325","325","325"
"113","325","325","325"
"114","175","175","175"
"115","150","150","150"
"116","675","675","675"
"117","250","250","250"
"118","175","175","175"
"119","175","175","175"
"120","250","250","250"
"121","225","225","225"
"122","175","175","175"
"123","200","200","200"
"124","250","250","250"
"125","200","200","200"
"126","225","225","225"
"127","200","200","200"
"128","225","225","225"
"129","125","125","125"
"130","350","350","350"
"131","250","250","250"
"132","250","250","250"
"133","150","150","150"
"134","175","175","175"
"135","675","675","675"
"136","175","175","175"
"137","575","575","575"
"138","175","175","175"
"139","250","250","250"
"140","275","275","275"
"141","225","225","225"
"142","375","375","375"
"143","325","325","325"
"144","300","300","300"
"145","325","325","325"
"146","600","600","600"
"147","125","125","125"
"148","650","650","650"
"149","600","600","600"
"150","725","725","725"
"151","300","300","300"
"152","250","250","250"
"153","250","250","250"
"154","300","300","300"
"155","725","725","725"
"156","175","175","175"
"157","200","200","200"
"158","225","225","225"
"159","225","225","225"
"160","300","300","300"
"161","250","250","250"
"162","225","225","225"
"163","125","125","125"
"164","125","125","125"
"165","250","250","250"
"166","250","250","250"
"167","150","150","150"
"168","300","300","300"
"169","400","400","400"
"170","325","325","325"
"171","250","250","250"
"172","350","350","350"
"173","175","175","175"
"174","175","175","175"
"175","200","200","200"
"176","575","575","575"
"177","375","375","375"
"178","175","175","175"
"179","275","275","275"
"180","200","200","200"
"181","225","225","225"
